Country,Segment,Date,Snapshot Date,Metric,Value
Germany,Corporates - Of Which: Specialised Lending,2022-03,31/03/2022,Default Rate,0.006857802
Germany,Corporates - Of Which: SME,2022-03,31/03/2022,Default Rate,0.007201656
Germany,Retail,2022-03,31/03/2022,Default Rate,0.006711709
Germany,Retail - Secured on real estate property,2022-03,31/03/2022,Default Rate,0.004313286
Germany,Retail - Qualifying Revolving,2022-03,31/03/2022,Default Rate,0.004350328
Germany,Retail - Other Retail,2022-03,31/03/2022,Default Rate,0.014527066
Greece,Corporates,2022-03,31/03/2022,Default Rate,0.015755178
Greece,Corporates - Of Which: Specialised Lending,2022-03,31/03/2022,Default Rate,
Greece,Corporates - Of Which: SME,2022-03,31/03/2022,Default Rate,
Greece,Retail,2022-03,31/03/2022,Default Rate,0.039836343
Greece,Retail - Secured on real estate property,2022-03,31/03/2022,Default Rate,
Greece,Retail - Qualifying Revolving,2022-03,31/03/2022,Default Rate,0.013402282
Greece,Retail - Other Retail,2022-03,31/03/2022,Default Rate,0.037126434
Hungary,Corporates,2022-03,31/03/2022,Default Rate,0.008643694
Hungary,Corporates - Of Which: Specialised Lending,2022-03,31/03/2022,Default Rate,
Hungary,Corporates - Of Which: SME,2022-03,31/03/2022,Default Rate,0.01898336
Hungary,Retail,2022-03,31/03/2022,Default Rate,0.012499493
Hungary,Retail - Secured on real estate property,2022-03,31/03/2022,Default Rate,0.012545581
Hungary,Retail - Qualifying Revolving,2022-03,31/03/2022,Default Rate,0.048613473
Hungary,Retail - Other Retail,2022-03,31/03/2022,Default Rate,0.029532906
Ireland,Corporates,2022-03,31/03/2022,Default Rate,0.019743042
Ireland,Corporates - Of Which: Specialised Lending,2022-03,31/03/2022,Default Rate,0.048047072
Ireland,Corporates - Of Which: SME,2022-03,31/03/2022,Default Rate,0.026887773
Ireland,Retail,2022-03,31/03/2022,Default Rate,0.012318027
Ireland,Retail - Secured on real estate property,2022-03,31/03/2022,Default Rate,0.012020013
Ireland,Retail - Qualifying Revolving,2022-03,31/03/2022,Default Rate,0.006145026
Ireland,Retail - Other Retail,2022-03,31/03/2022,Default Rate,0.023872986
Italy,Corporates,2022-03,31/03/2022,Default Rate,0.006047045
Italy,Corporates - Of Which: Specialised Lending,2022-03,31/03/2022,Default Rate,
Italy,Corporates - Of Which: SME,2022-03,31/03/2022,Default Rate,0.011748847
Italy,Retail,2022-03,31/03/2022,Default Rate,0.009434649
Italy,Retail - Secured on real estate property,2022-03,31/03/2022,Default Rate,0.006766282
Italy,Retail - Qualifying Revolving,2022-03,31/03/2022,Default Rate,0.003738496
Italy,Retail - Other Retail,2022-03,31/03/2022,Default Rate,0.014053764
Latvia,Corporates,2022-03,31/03/2022,Default Rate,
Latvia,Corporates - Of Which: Specialised Lending,2022-03,31/03/2022,Default Rate,
Latvia,Corporates - Of Which: SME,2022-03,31/03/2022,Default Rate,
Latvia,Retail,2022-03,31/03/2022,Default Rate,0.009915648
Latvia,Retail - Secured on real estate property,2022-03,31/03/2022,Default Rate,0.011026071
Latvia,Retail - Qualifying Revolving,2022-03,31/03/2022,Default Rate,
Latvia,Retail - Other Retail,2022-03,31/03/2022,Default Rate,0.006676384
Lithuania,Corporates,2022-03,31/03/2022,Default Rate,
Lithuania,Corporates - Of Which: Specialised Lending,2022-03,31/03/2022,Default Rate,
Lithuania,Corporates - Of Which: SME,2022-03,31/03/2022,Default Rate,
Lithuania,Retail,2022-03,31/03/2022,Default Rate,0.006186396
Lithuania,Retail - Secured on real estate property,2022-03,31/03/2022,Default Rate,0.006722389
Lithuania,Retail - Qualifying Revolving,2022-03,31/03/2022,Default Rate,0.033028565
Lithuania,Retail - Other Retail,2022-03,31/03/2022,Default Rate,0.003507584
Luxembourg,Corporates,2022-03,31/03/2022,Default Rate,0.005348082
Luxembourg,Corporates - Of Which: Specialised Lending,2022-03,31/03/2022,Default Rate,0.005401079
Luxembourg,Corporates - Of Which: SME,2022-03,31/03/2022,Default Rate,0.002794124
Luxembourg,Retail,2022-03,31/03/2022,Default Rate,0.00329513
Luxembourg,Retail - Secured on real estate property,2022-03,31/03/2022,Default Rate,0.001650082
Luxembourg,Retail - Qualifying Revolving,2022-03,31/03/2022,Default Rate,0.020111637
Luxembourg,Retail - Other Retail,2022-03,31/03/2022,Default Rate,0.012087102
Malta,Corporates,2022-03,31/03/2022,Default Rate,
Malta,Corporates - Of Which: Specialised Lending,2022-03,31/03/2022,Default Rate,
Malta,Corporates - Of Which: SME,2022-03,31/03/2022,Default Rate,
Malta,Retail,2022-03,31/03/2022,Default Rate,0.009787221
Malta,Retail - Secured on real estate property,2022-03,31/03/2022,Default Rate,0.075826166
Malta,Retail - Qualifying Revolving,2022-03,31/03/2022,Default Rate,0.053909929
Malta,Retail - Other Retail,2022-03,31/03/2022,Default Rate,0.010009352
Netherlands,Corporates,2022-03,31/03/2022,Default Rate,0.008472258
Netherlands,Corporates - Of Which: Specialised Lending,2022-03,31/03/2022,Default Rate,0.004843577
Netherlands,Corporates - Of Which: SME,2022-03,31/03/2022,Default Rate,0.014040336
Netherlands,Retail,2022-03,31/03/2022,Default Rate,0.005161255
Netherlands,Retail - Secured on real estate property,2022-03,31/03/2022,Default Rate,0.004698965
Netherlands,Retail - Qualifying Revolving,2022-03,31/03/2022,Default Rate,0.009507485
Netherlands,Retail - Other Retail,2022-03,31/03/2022,Default Rate,0.016151084
Norway,Corporates,2022-03,31/03/2022,Default Rate,0.002155534
Norway,Corporates - Of Which: Specialised Lending,2022-03,31/03/2022,Default Rate,
Norway,Corporates - Of Which: SME,2022-03,31/03/2022,Default Rate,0.00141207
Norway,Retail,2022-03,31/03/2022,Default Rate,0.002558948
Norway,Retail - Secured on real estate property,2022-03,31/03/2022,Default Rate,0.001772501
Norway,Retail - Qualifying Revolving,2022-03,31/03/2022,Default Rate,0.011845805
Norway,Retail - Other Retail,2022-03,31/03/2022,Default Rate,0.005458335
Poland,Corporates,2022-03,31/03/2022,Default Rate,0.005357129
Poland,Corporates - Of Which: Specialised Lending,2022-03,31/03/2022,Default Rate,
Poland,Corporates - Of Which: SME,2022-03,31/03/2022,Default Rate,0.008385445
Poland,Retail,2022-03,31/03/2022,Default Rate,0.015354057
Poland,Retail - Secured on real estate property,2022-03,31/03/2022,Default Rate,0.008654599
Poland,Retail - Qualifying Revolving,2022-03,31/03/2022,Default Rate,0.013748344
Poland,Retail - Other Retail,2022-03,31/03/2022,Default Rate,0.030726403
Portugal,Corporates,2022-03,31/03/2022,Default Rate,0.021965982
Portugal,Corporates - Of Which: Specialised Lending,2022-03,31/03/2022,Default Rate,
Portugal,Corporates - Of Which: SME,2022-03,31/03/2022,Default Rate,0.02642191
Portugal,Retail,2022-03,31/03/2022,Default Rate,0.008270305
Portugal,Retail - Secured on real estate property,2022-03,31/03/2022,Default Rate,0.00451306
Portugal,Retail - Qualifying Revolving,2022-03,31/03/2022,Default Rate,0.007351807
Portugal,Retail - Other Retail,2022-03,31/03/2022,Default Rate,0.022135828
Romania,Corporates,2022-03,31/03/2022,Default Rate,0.004793088
Romania,Corporates - Of Which: Specialised Lending,2022-03,31/03/2022,Default Rate,
Romania,Corporates - Of Which: SME,2022-03,31/03/2022,Default Rate,0.012308523
Romania,Retail,2022-03,31/03/2022,Default Rate,0.016732565
Romania,Retail - Secured on real estate property,2022-03,31/03/2022,Default Rate,0.005772881
Romania,Retail - Qualifying Revolving,2022-03,31/03/2022,Default Rate,0.011808759
Romania,Retail - Other Retail,2022-03,31/03/2022,Default Rate,0.031338071
Slovakia,Corporates,2022-03,31/03/2022,Default Rate,0.006095635
Slovakia,Corporates - Of Which: Specialised Lending,2022-03,31/03/2022,Default Rate,
Slovakia,Corporates - Of Which: SME,2022-03,31/03/2022,Default Rate,0.010810437
Slovakia,Retail,2022-03,31/03/2022,Default Rate,0.003048746
Slovakia,Retail - Secured on real estate property,2022-03,31/03/2022,Default Rate,0.002388289
Slovakia,Retail - Qualifying Revolving,2022-03,31/03/2022,Default Rate,0.00607193
Slovakia,Retail - Other Retail,2022-03,31/03/2022,Default Rate,0.011777288
Slovenia,Corporates,2022-03,31/03/2022,Default Rate,0.000206507
Slovenia,Corporates - Of Which: Specialised Lending,2022-03,31/03/2022,Default Rate,
Slovenia,Corporates - Of Which: SME,2022-03,31/03/2022,Default Rate,
Slovenia,Retail,2022-03,31/03/2022,Default Rate,0.021613778
Slovenia,Retail - Secured on real estate property,2022-03,31/03/2022,Default Rate,
Slovenia,Retail - Qualifying Revolving,2022-03,31/03/2022,Default Rate,0.090250952
Slovenia,Retail - Other Retail,2022-03,31/03/2022,Default Rate,0.011891584
Spain,Corporates,2022-03,31/03/2022,Default Rate,0.032307893
Spain,Corporates - Of Which: Specialised Lending,2022-03,31/03/2022,Default Rate,0.088077963
Spain,Corporates - Of Which: SME,2022-03,31/03/2022,Default Rate,0.042474236
Spain,Retail,2022-03,31/03/2022,Default Rate,0.020931369
Spain,Retail - Secured on real estate property,2022-03,31/03/2022,Default Rate,0.019279029
